LineItem [description=paycheck, amount=1425.0, type=Income, date=Fri Jul 22 00:00:00 HST 2016] CalculatedFields [balance=461809.0, accruedInterest=37.95690410958905, runningAccruedInterest=4326.446136986301]
LineItem [description=Electricity, amount=130.0, type=Expense, date=Mon Jul 25 00:00:00 HST 2016] CalculatedFields [balance=461939.0, accruedInterest=88.5910410958904, runningAccruedInterest=4415.0371780821915]
LineItem [description=A+, amount=135.0, type=Expense, date=Mon Aug 01 00:00:00 HST 2016] CalculatedFields [balance=462074.0, accruedInterest=25.319123287671232, runningAccruedInterest=4440.356301369863]
LineItem [description=water/sewer, amount=120.0, type=Expense, date=Wed Aug 03 00:00:00 HST 2016] CalculatedFields [balance=462194.0, accruedInterest=25.325698630136987, runningAccruedInterest=4465.682]
LineItem [description=paycheck, amount=2493.0, type=Income, date=Fri Aug 05 00:00:00 HST 2016] CalculatedFields [balance=459701.0, accruedInterest=0.0, runningAccruedInterest=4465.682]
LineItem [description=paycheck, amount=1425.0, type=Income, date=Fri Aug 05 00:00:00 HST 2016] CalculatedFields [balance=458276.0, accruedInterest=50.22202739726028, runningAccruedInterest=4515.9040273972605]
LineItem [description=credit card, amount=4000.0, type=Expense, date=Tue Aug 09 00:00:00 HST 2016] CalculatedFields [balance=462276.0, accruedInterest=75.99057534246576, runningAccruedInterest=4591.894602739726]
LineItem [description=EA Buck, amount=250.0, type=Expense, date=Mon Aug 15 00:00:00 HST 2016] CalculatedFields [balance=462526.0, accruedInterest=50.68778082191781, runningAccruedInterest=4642.582383561644]
LineItem [description=paycheck, amount=1425.0, type=Income, date=Fri Aug 19 00:00:00 HST 2016] CalculatedFields [balance=461101.0, accruedInterest=12.632904109589042, runningAccruedInterest=4655.2152876712325]
LineItem [description=paycheck, amount=2493.0, type=Income, date=Sat Aug 20 00:00:00 HST 2016] CalculatedFields [balance=458608.0, accruedInterest=62.823013698630135, runningAccruedInterest=4718.038301369863]
LineItem [description=Electricity, amount=130.0, type=Expense, date=Thu Aug 25 00:00:00 HST 2016] CalculatedFields [balance=458738.0, accruedInterest=87.9771506849315, runningAccruedInterest=4806.015452054794]
LineItem [description=A+, amount=135.0, type=Expense, date=Thu Sep 01 00:00:00 HST 2016] CalculatedFields [balance=458873.0, accruedInterest=25.14372602739726, runningAccruedInterest=4831.159178082191]
LineItem [description=paycheck, amount=1425.0, type=Income, date=Fri Sep 02 00:00:00 HST 2016] CalculatedFields [balance=457448.0, accruedInterest=25.065643835616438, runningAccruedInterest=4856.224821917807]
LineItem [description=water/sewer, amount=120.0, type=Expense, date=Sat Sep 03 00:00:00 HST 2016] CalculatedFields [balance=457568.0, accruedInterest=50.144438356164386, runningAccruedInterest=4906.369260273972]
LineItem [description=paycheck, amount=2493.0, type=Income, date=Mon Sep 05 00:00:00 HST 2016] CalculatedFields [balance=455075.0, accruedInterest=99.74246575342465, runningAccruedInterest=5006.111726027397]
LineItem [description=credit card, amount=4000.0, type=Expense, date=Fri Sep 09 00:00:00 HST 2016] CalculatedFields [balance=459075.0, accruedInterest=150.92876712328768, runningAccruedInterest=5157.040493150685]
LineItem [description=EA Buck, amount=250.0, type=Expense, date=Thu Sep 15 00:00:00 HST 2016] CalculatedFields [balance=459325.0, accruedInterest=25.16849315068493, runningAccruedInterest=5182.20898630137]
LineItem [description=paycheck, amount=1425.0, type=Income, date=Fri Sep 16 00:00:00 HST 2016] CalculatedFields [balance=457900.0, accruedInterest=100.36164383561645, runningAccruedInterest=5282.570630136986]
LineItem [description=paycheck, amount=2493.0, type=Income, date=Tue Sep 20 00:00:00 HST 2016] CalculatedFields [balance=455407.0, accruedInterest=124.76904109589042, runningAccruedInterest=5407.339671232877]
LineItem [description=Electricity, amount=130.0, type=Expense, date=Sun Sep 25 00:00:00 HST 2016] CalculatedFields [balance=455537.0, accruedInterest=124.80465753424659, runningAccruedInterest=5532.144328767124]
LineItem [description=paycheck, amount=1425.0, type=Income, date=Fri Sep 30 00:00:00 HST 2016] CalculatedFields [balance=454112.0, accruedInterest=24.882849315068494, runningAccruedInterest=5557.027178082192]
LineItem [description=A+, amount=135.0, type=Expense, date=Sat Oct 01 00:00:00 HST 2016] CalculatedFields [balance=454247.0, accruedInterest=49.78049315068493, runningAccruedInterest=5606.8076712328775]
LineItem [description=water/sewer, amount=120.0, type=Expense, date=Mon Oct 03 00:00:00 HST 2016] CalculatedFields [balance=454367.0, accruedInterest=49.79364383561644, runningAccruedInterest=5656.601315068494]
LineItem [description=paycheck, amount=2493.0, type=Income, date=Wed Oct 05 00:00:00 HST 2016] CalculatedFields [balance=451874.0, accruedInterest=99.04087671232877, runningAccruedInterest=5755.642191780823]
LineItem [description=credit card, amount=4000.0, type=Expense, date=Sun Oct 09 00:00:00 HST 2016] CalculatedFields [balance=455874.0, accruedInterest=124.89698630136986, runningAccruedInterest=5880.539178082193]
LineItem [description=paycheck, amount=1425.0, type=Income, date=Fri Oct 14 00:00:00 HST 2016] CalculatedFields [balance=454449.0, accruedInterest=24.90131506849315, runningAccruedInterest=5905.440493150686]
LineItem [description=EA Buck, amount=250.0, type=Expense, date=Sat Oct 15 00:00:00 HST 2016] CalculatedFields [balance=454699.0, accruedInterest=124.57506849315068, runningAccruedInterest=6030.015561643837]
LineItem [description=paycheck, amount=2493.0, type=Income, date=Thu Oct 20 00:00:00 HST 2016] CalculatedFields [balance=452206.0, accruedInterest=123.89205479452056, runningAccruedInterest=6153.907616438358]
LineItem [description=Electricity, amount=130.0, type=Expense, date=Tue Oct 25 00:00:00 HST 2016] CalculatedFields [balance=452336.0, accruedInterest=74.35660273972603, runningAccruedInterest=6228.264219178084]
LineItem [description=paycheck, amount=1425.0, type=Income, date=Fri Oct 28 00:00:00 HST 2016] CalculatedFields [balance=450911.0, accruedInterest=98.82980821917809, runningAccruedInterest=6327.094027397262]
LineItem [description=A+, amount=135.0, type=Expense, date=Tue Nov 01 00:00:00 HST 2016] CalculatedFields [balance=451046.0, accruedInterest=49.42969863013699, runningAccruedInterest=6376.523726027399]
LineItem [description=water/sewer, amount=120.0, type=Expense, date=Thu Nov 03 00:00:00 HST 2016] CalculatedFields [balance=451166.0, accruedInterest=49.44284931506849, runningAccruedInterest=6425.966575342467]
LineItem [description=paycheck, amount=2493.0, type=Income, date=Sat Nov 05 00:00:00 HST 2016] CalculatedFields [balance=448673.0, accruedInterest=98.33928767123288, runningAccruedInterest=6524.3058630137]
LineItem [description=credit card, amount=4000.0, type=Expense, date=Wed Nov 09 00:00:00 HST 2016] CalculatedFields [balance=452673.0, accruedInterest=49.608000000000004, runningAccruedInterest=6573.9138630137]
LineItem [description=paycheck, amount=1425.0, type=Income, date=Fri Nov 11 00:00:00 HST 2016] CalculatedFields [balance=451248.0, accruedInterest=98.90367123287672, runningAccruedInterest=6672.817534246577]
LineItem [description=EA Buck, amount=250.0, type=Expense, date=Tue Nov 15 00:00:00 HST 2016] CalculatedFields [balance=451498.0, accruedInterest=123.69808219178083, runningAccruedInterest=6796.515616438358]
LineItem [description=paycheck, amount=2493.0, type=Income, date=Sun Nov 20 00:00:00 HST 2016] CalculatedFields [balance=449005.0, accruedInterest=123.0150684931507, runningAccruedInterest=6919.530684931508]
LineItem [description=Electricity, amount=130.0, type=Expense, date=Fri Nov 25 00:00:00 HST 2016] CalculatedFields [balance=449135.0, accruedInterest=0.0, runningAccruedInterest=6919.530684931508]
LineItem [description=paycheck, amount=1425.0, type=Income, date=Fri Nov 25 00:00:00 HST 2016] CalculatedFields [balance=447710.0, accruedInterest=147.19232876712329, runningAccruedInterest=7066.723013698632]
LineItem [description=A+, amount=135.0, type=Expense, date=Thu Dec 01 00:00:00 HST 2016] CalculatedFields [balance=447845.0, accruedInterest=49.07890410958904, runningAccruedInterest=7115.80191780822]
LineItem [description=water/sewer, amount=120.0, type=Expense, date=Sat Dec 03 00:00:00 HST 2016] CalculatedFields [balance=447965.0, accruedInterest=49.09205479452055, runningAccruedInterest=7164.893972602741]
LineItem [description=paycheck, amount=2493.0, type=Income, date=Mon Dec 05 00:00:00 HST 2016] CalculatedFields [balance=445472.0, accruedInterest=97.637698630137, runningAccruedInterest=7262.531671232878]
LineItem [description=credit card, amount=4000.0, type=Expense, date=Fri Dec 09 00:00:00 HST 2016] CalculatedFields [balance=449472.0, accruedInterest=0.0, runningAccruedInterest=7262.531671232878]
LineItem [description=paycheck, amount=1425.0, type=Income, date=Fri Dec 09 00:00:00 HST 2016] CalculatedFields [balance=448047.0, accruedInterest=147.3031232876712, runningAccruedInterest=7409.834794520549]
